AIA,0.8600,0.5306
ATG,0.9000,0.5635
AWB,0.6340,0.8435
BHS,0.3970,0.1565
BRB,0.9700,0.8153
BES,0.6880,0.8671
VGB,0.8150,0.5024
CYM,0.2650,0.4718
CUB,0.2330,0.2635
CUW,0.6690,0.8718
DMA,0.9140,0.6941
DOM,0.6350,0.5188
GRD,0.9010,0.8741
GLP,0.9040,0.6529
HTI,0.5580,0.5176
JAM,0.4140,0.5459
MTQ,0.9230,0.7329
MSR,0.8860,0.6141
PRI,0.7590,0.5176
BLM,0.8770,0.5576
KNA,0.8690,0.5871
LCA,0.9270,0.7682
MAF,0.8580,0.5424
VCT,0.9200,0.8082
SXM,0.9060,0.5753
TTO,0.9090,0.9482
TCA,0.5760,0.3353
VIR,0.8050,0.5235
